Id,Bone_Health_Calcium,VitA_Percentage,Saturated_Lipids,Energy_Content,Cholesterol_Level,Drink_Name,Iron_Concentration,VitC_Content,Sweetness_Index,Drink_Type,Salt_Level,Health_Category,Flavor_Variant,Fibre_Amount,Processed_Oil_Content,Carb_Count,Protein_Quantity,Stimulant_Caffeine,Heart_Risk_Index,Health_Rating,Fat_Content
1680,50%,8%,0.03123,25.6889,9.0,Brand 12,0.11%,11%,62.0, Special Spiced Chai ,10,Low_Fat,Rose Milk,0.101,1.1119,0,11.4,33,8.8026, Low ,2.2458
1681,10%,0%,0.02367,25.7074,38.0,Brand 5,0.11%,6%,26.0, South Indian Filter Coffee ,10,Low_Fat,Large Kulhad,0.105,0.2663,71,3.0,245,9.3437, Medium ,0.0
1682,51%,44%,0.09915,23.2806,25.0,Brand 26,0.11%,8%,31.0, South Indian Filter Coffee ,17,Vitamin_Rich,Full Cream Buffalo Milk,0.101,2.8711,413,17.0,148,15.137, Medium ,1.2773
1683,123%,49%,0.09201,39.5852,70.0,Brand 1,34.08%,14%,105.0, Cold Coffee ,11,Low_Fat,Malai Milk,4.015,0.7544,1254,111.0,236,42.8469, High ,31.7468
1684,35%,7%,0.02664,25.6006,20.0,Brand 25,0.11%,50%,115.0, Light Buttermilk (Chaas) ,10,Low_Fat,Kesar Doodh,0.969,0.591,20,17.0,53,5.9286, Medium ,7.8682
1685,17%,0%,0.02189,17.4438,18.0,Brand 13,0.11%,12%,20.0, Nimbu Pani & Shikanji ,10,Low_Fat,Malai Milk,1.451,0.0,232,3.0,20,4.1533, Low ,0.0
1686,67%,49%,0.06645,38.3198,70.0,Brand 25,34.42%,17%,185.0, Mango Shake ,49,Vitamin_Rich,Malai Milk,305.201,1.8228,841,115.0,232,27.7243, High ,54.674
1687,56%,28%,0.02014,22.5411,12.0,Brand 13,32.46%,8%,33.0, Masala Chai ,11,Low_Fat,Full Cream Buffalo Milk,0.101,0.9248,244,24.3,20,8.1678, Low ,8.4161
1688,45%,27%,0.02987,25.8663,67.0,Brand 28,44.48%,56%,144.0, Masala Chai ,11,Low_Fat,Badam Milk,2.504,0.8488,1063,67.4,20,22.458, High ,20.791
1689,27%,3%,0.02017,0.0,28.0,Brand 32,0.11%,10%,170.0, Masala Chai ,11,Low_Fat,Badam Milk,0.101,0.7029,173,20.1,142,3.3381, Low ,2.2327
1690,74%,52%,0.01637,37.8536,31.0,Brand 31,0.86%,14%,63.0, South Indian Filter Coffee ,11,Low_Fat,Elaichi Doodh,0.893,0.0,290,65.4,251,16.3595, Medium ,0.0
1691,44%,45%,0.01101,29.9121,31.0,Brand 32,0.11%,9%,106.0, South Indian Filter Coffee ,17,Low_Fat,Kesar Doodh,1.683,1.2891,663,55.0,251,14.4889, Medium ,0.2931
1692,10%,2%,0.01167,0.0,7.0,Brand 19,0.11%,9%,55.0, Nimbu Pani & Shikanji ,12,High_Protein,Extra Large Kulhad,0.101,0.7551,149,3.2,267,9.8804, Medium ,0.6557
1693,77%,24%,0.01787,35.1844,67.0,Brand 32,0.11%,67%,116.0, Lassi Blends ,10,Low_Fat,Badam Milk,0.192,1.6692,442,69.6,21,18.1377, Medium ,6.4061
1694,10%,2%,0.01527,5.1936,0.0,Brand 19,0.11%,12%,80.0, Nimbu Pani & Shikanji ,11,Low_Fat,Large Kulhad,0.101,0.0,0,3.0,498,3.3381, Medium ,1.7187
1695,44%,4%,0.02905,32.6411,20.0,Brand 21,4.94%,10%,2.0, Nimbu Pani & Shikanji ,10,Low_Fat,Elaichi Doodh,1.833,0.1991,101,86.5,51,17.2422, Low ,13.3156
1696,56%,33%,0.10201,33.6356,38.0,Brand 10,15.64%,5%,198.0, Lassi Blends ,28,Vitamin_Rich,Full Cream Buffalo Milk,0.101,3.49,244,39.9,138,15.349, Medium ,62.0791
1697,62%,47%,0.03089,13.0269,17.0,Brand 14,0.57%,5%,39.0, Masala Chai ,12,Vitamin_Rich,Badam Milk,1.521,3.254,92,55.9,158,5.1302, Medium ,46.6745
1698,26%,25%,0.02785,25.7821,19.0,Brand 14,0.11%,9%,50.0, Kadak Chai ,12,Low_Fat,Rose Milk,0.101,0.5965,123,16.9,51,11.1957, Medium ,3.4655
1699,33%,34%,0.02925,21.9826,71.0,Brand 17,25.53%,6%,76.0, South Indian Filter Coffee ,10,Vitamin_Rich,Kesar Doodh,243.895,1.1614,803,27.6,36,32.5114, Medium ,9.2136
1700,80%,45%,0.01865,31.5422,11.0,Brand 11,50.97%,7%,115.0, South Indian Filter Coffee ,37,Low_Fat,Malai Milk,0.101,2.6977,580,106.5,224,14.0795, Medium ,83.4033
1701,33%,54%,0.0842,23.7674,54.0,Brand 10,0.11%,5%,142.0, Light Buttermilk (Chaas) ,24,Vitamin_Rich,Malai Milk,1.668,3.2513,548,51.0,143,31.5876, Medium ,16.7808
1702,33%,32%,0.07095,39.5748,65.0,Brand 28,59.01%,405%,192.0, Mango Shake ,39,Vitamin_Rich,Malai Milk,467.067,2.9694,597,137.3,41,38.4663, High ,80.4843
1703,118%,33%,0.09004,38.8569,63.0,Brand 4,0.11%,5%,145.0, Lassi Blends ,26,Low_Fat,Elaichi Doodh,0.101,0.3738,936,21.3,219,33.531, Medium ,5.8561
1704,40%,28%,0.07145,35.6514,92.0,Brand 32,21.46%,59%,63.0, Lassi Blends ,27,Vitamin_Rich,Full Cream Buffalo Milk,0.101,0.6376,346,30.0,20,29.3601, Medium ,48.225
1705,101%,56%,0.12613,31.225,48.0,Brand 24,44.01%,10%,168.0, Masala Chai ,48,Vitamin_Rich,Malai Milk,0.101,3.5022,577,97.2,255,30.7648, Medium ,227.8048
1706,59%,28%,0.10211,33.1809,79.0,Brand 32,42.17%,10%,127.0, Light Buttermilk (Chaas) ,11,Vitamin_Rich,Badam Milk,3.274,1.1885,450,44.8,197,18.9993, Medium ,38.7181
1707,34%,32%,0.01506,23.666,33.0,Brand 21,0.36%,7%,121.0, South Indian Filter Coffee ,11,Vitamin_Rich,Malai Milk,0.101,2.6733,333,82.7,160,11.5183, Medium ,69.3614
1708,16%,0%,0.02918,20.805,20.0,Brand 14,0.7%,5%,111.0, South Indian Filter Coffee ,11,Low_Fat,Badam Milk,0.101,0.1255,136,17.9,223,11.8858, Medium ,1.588
1709,37%,34%,0.0229,28.5945,72.0,Brand 19,0.11%,11%,170.0, Cold Coffee ,25,Low_Fat,Kesar Doodh,0.101,0.8975,463,31.1,259,20.268, Medium ,6.8999
1710,20%,1%,0.01761,23.3241,16.0,Brand 27,18.92%,10%,48.0, Nimbu Pani & Shikanji ,16,Low_Fat,Saffron-Infused Milk,1.665,0.1536,676,11.7,244,12.2199, Low ,2.8769
1711,43%,29%,0.01401,26.0755,19.0,Brand 7,0.11%,9%,168.0, Lassi Blends ,17,Low_Fat,Medium Glass,0.101,0.1793,447,38.8,219,13.2055, Medium ,10.0888
1712,10%,0%,0.0147,0.0,0.0,Brand 13,0.11%,13%,20.0, Nimbu Pani & Shikanji ,11,Low_Fat,Medium Glass,0.101,0.2724,0,3.0,137,3.3381, Low ,0.0
1713,73%,33%,0.01636,34.187,22.0,Brand 33,1.12%,7%,38.0, Nimbu Pani & Shikanji ,12,Vitamin_Rich,Malai Milk,0.101,1.3463,322,83.4,158,25.9461, Medium ,14.9612
1714,50%,3%,0.01951,25.4192,19.0,Brand 27,0.11%,10%,2.0, Masala Chai ,12,Low_Fat,Small Glass,2.191,0.9521,164,15.8,199,12.3268, Medium ,0.0
1715,10%,7%,0.01101,3.5642,0.0,Brand 19,0.11%,5%,2.0, Kadak Chai ,11,Low_Fat,Medium Glass,0.101,0.0,134,3.0,132,3.3381, Low ,17.7034
1716,75%,27%,0.01101,26.1129,37.0,Brand 32,0.11%,71%,28.0, Lassi Blends ,10,Low_Fat,Saffron-Infused Milk,2.395,0.6763,189,13.9,26,19.7029, Medium ,0.0
1717,49%,32%,0.09784,30.3421,36.0,Brand 6,37.45%,7%,171.0, South Indian Filter Coffee ,31,Vitamin_Rich,Badam Milk,2.319,3.7063,315,36.2,259,9.5407, Medium ,35.2373
1718,67%,35%,0.09695,30.2075,35.0,Brand 32,38.19%,9%,53.0, Cold Coffee ,27,Vitamin_Rich,Malai Milk,0.101,4.2055,665,46.1,25,16.9886, Medium ,258.4899
1719,19%,32%,0.02858,25.547,28.0,Brand 21,0.47%,64%,34.0, Light Buttermilk (Chaas) ,17,High_Protein,Saffron-Infused Milk,1.269,1.1044,171,38.9,369,10.4756, Medium ,0.0
1720,28%,28%,0.03692,34.2152,49.0,Brand 14,17.45%,5%,144.0, Cold Coffee ,17,Low_Fat,Kesar Doodh,3.009,0.7708,334,32.2,225,18.7307, Medium ,41.8645
1721,31%,25%,0.02788,36.3867,41.0,Brand 26,15.57%,8%,84.0, Lassi Blends ,11,Low_Fat,Saffron-Infused Milk,0.101,1.5139,788,36.1,256,19.788, Medium ,7.5107
1722,78%,7%,0.03232,20.1712,16.0,Brand 18,0.11%,8%,67.0, South Indian Filter Coffee ,10,Low_Fat,Elaichi Doodh,0.101,0.0,160,11.8,136,9.7182, Medium ,0.0
1723,11%,7%,0.02493,20.3228,29.0,Brand 23,0.47%,8%,78.0, South Indian Filter Coffee ,11,Low_Fat,Full Cream Buffalo Milk,0.101,0.5641,144,3.0,254,7.6733, Medium ,2.8704
1724,115%,36%,0.16439,31.8256,10.0,Brand 17,30.74%,15%,82.0, South Indian Filter Coffee ,47,Vitamin_Rich,Badam Milk,223.917,4.6542,574,143.0,224,25.1423, High ,11.897
1725,47%,34%,0.09496,27.2994,55.0,Brand 32,21.51%,7%,82.0, Special Spiced Chai ,10,Vitamin_Rich,Malai Milk,8.207,3.3266,111,41.2,136,23.1318, Medium ,49.4127
1726,69%,44%,0.02124,27.3403,88.0,Brand 27,0.11%,72%,108.0, Cold Coffee ,16,Low_Fat,Saffron-Infused Milk,5.856,0.0,372,44.4,20,28.1529, Medium ,0.0
1727,73%,34%,0.01284,25.3298,64.0,Brand 15,22.54%,7%,191.0, South Indian Filter Coffee ,10,Vitamin_Rich,Malai Milk,6.637,3.0901,452,54.5,61,25.8251, Medium ,12.4215
1728,65%,0%,0.01353,13.1294,18.0,Brand 33,0.22%,10%,6.0, Masala Chai ,11,Low_Fat,Badam Milk,0.101,0.8234,359,105.7,42,18.9818, Medium ,0.0
1729,32%,0%,0.03158,20.1178,41.0,Brand 27,0.11%,7%,120.0, Cold Coffee ,11,Low_Fat,Saffron-Infused Milk,0.101,0.0,268,3.0,156,13.1654, Medium ,5.8735
1730,47%,24%,0.04061,22.4569,31.0,Brand 32,29.35%,9%,13.0, Masala Chai ,11,Low_Fat,Badam Milk,0.101,1.1821,49,34.5,137,19.7757, Medium ,14.6105
1731,10%,0%,0.01506,0.0,0.0,Brand 29,0.11%,8%,16.0, Nimbu Pani & Shikanji ,13,Low_Fat,Large Kulhad,0.101,0.1368,171,3.0,507,3.3381, Medium ,0.0
1732,38%,31%,0.01196,21.5247,10.0,Brand 17,18.75%,8%,128.0, South Indian Filter Coffee ,17,Vitamin_Rich,Small Glass,1.913,3.3503,490,26.7,145,14.063, Medium ,3.6625
1733,47%,33%,0.0258,26.2299,59.0,Brand 32,37.79%,8%,67.0, Masala Chai ,10,Low_Fat,Malai Milk,0.101,1.1131,562,39.3,20,8.0877, Medium ,11.7431
1734,32%,34%,0.02731,26.1699,40.0,Brand 17,0.11%,10%,82.0, Special Spiced Chai ,11,Vitamin_Rich,Malai Milk,1.375,0.8333,427,26.2,135,15.2446, Medium ,0.0
1735,78%,6%,0.03747,26.8902,27.0,Brand 15,0.11%,12%,172.0, Special Spiced Chai ,11,Low_Fat,Malai Milk,0.101,1.9147,145,19.1,147,13.5406, Medium ,26.5132
1736,10%,0%,0.01101,5.6097,42.0,Brand 13,0.2%,12%,2.0, Nimbu Pani & Shikanji ,10,Low_Fat,Large Kulhad,0.101,0.0,0,3.0,443,12.5306, Low ,0.0
1737,86%,32%,0.08404,28.876,39.0,Brand 32,0.2%,46%,51.0, Lassi Blends ,10,Low_Fat,Extra Large Kulhad,1.685,1.0849,151,30.1,39,24.4625, Medium ,1.8506
1738,81%,41%,0.09264,24.4193,10.0,Brand 4,34.55%,13%,99.0, South Indian Filter Coffee ,31,Vitamin_Rich,Malai Milk,0.101,3.3214,733,124.7,20,28.2973, Medium ,84.7
1739,10%,5%,0.02415,12.7366,26.0,Brand 21,0.11%,11%,75.0, Nimbu Pani & Shikanji ,11,Low_Fat,Malai Milk,0.101,0.2493,157,3.0,465,7.1088, Low ,8.3946
1740,37%,44%,0.01112,33.2031,60.0,Brand 12,22.92%,53%,169.0, Special Spiced Chai ,10,Low_Fat,Saffron-Infused Milk,3.648,0.7314,402,39.8,228,27.173, Medium ,0.0
1741,51%,33%,0.08786,23.511,90.0,Brand 32,24.35%,9%,77.0, Cold Coffee ,16,Vitamin_Rich,Saffron-Infused Milk,1.22,4.2357,624,40.0,136,18.7963, Medium ,59.2243
1742,40%,37%,0.0173,20.8351,31.0,Brand 31,0.11%,12%,18.0, South Indian Filter Coffee ,10,High_Protein,Rose Milk,0.101,3.2222,246,12.7,218,13.6348, Medium ,0.0
1743,50%,30%,0.08735,40.4749,56.0,Brand 27,25.69%,15%,168.0, Cold Coffee ,12,Vitamin_Rich,Elaichi Doodh,0.46,1.5866,589,57.8,43,41.4333, High ,24.7096
1744,44%,43%,0.09321,27.4709,34.0,Brand 9,48.78%,5%,179.0, Masala Chai ,30,Vitamin_Rich,Badam Milk,0.875,1.8654,342,59.5,144,15.024, Medium ,65.0626
1745,10%,0%,0.03787,11.8773,7.0,Brand 1,0.11%,14%,2.0, Masala Chai ,11,Low_Fat,Malai Milk,0.101,0.0,0,3.0,412,3.3381, Medium ,0.8154
1746,38%,32%,0.02642,18.7243,13.0,Brand 32,0.11%,48%,38.0, Masala Chai ,10,Low_Fat,Badam Milk,0.101,1.0547,459,66.1,20,21.9001, Medium ,10.2178
1747,60%,36%,0.02519,21.0506,14.0,Brand 7,18.8%,6%,81.0, South Indian Filter Coffee ,16,Vitamin_Rich,Extra Large Kulhad,0.101,1.259,185,38.3,147,13.04, Medium ,13.262
1748,10%,3%,0.02222,12.6522,41.0,Brand 21,0.11%,5%,138.0, Nimbu Pani & Shikanji ,10,Low_Fat,Full Cream Buffalo Milk,0.101,0.1895,134,3.2,532,3.3381, Low ,11.3482
1749,67%,54%,0.01101,35.8603,25.0,Brand 8,0.11%,8%,2.0, South Indian Filter Coffee ,12,Low_Fat,Malai Milk,0.101,0.8541,382,91.6,154,30.33, Medium ,16.8248
1750,21%,6%,0.01707,6.4087,11.0,Brand 6,0.11%,10%,91.0, South Indian Filter Coffee ,11,Low_Fat,Kesar Doodh,1.308,0.0,138,5.9,441,3.3381, Medium ,0.0
1751,43%,25%,0.08363,29.3864,,Brand 4,1.86%,6%,82.0, South Indian Filter Coffee ,10,Low_Fat,Saffron-Infused Milk,1.218,0.838,348,26.1,119,6.9564, Medium ,69.4752
1752,33%,26%,0.01101,30.0361,51.0,Brand 32,11.19%,57%,72.0, Lassi Blends ,11,Vitamin_Rich,Elaichi Doodh,264.777,1.1195,324,48.5,20,33.1678, Medium ,34.8336
1753,33%,30%,0.08921,34.2695,48.0,Brand 32,42.02%,8%,149.0, Cold Coffee ,11,Low_Fat,Badam Milk,1.127,0.9013,36,50.2,39,12.0194, Medium ,16.4634
1754,102%,54%,0.23024,24.6904,52.0,Brand 9,0.11%,8%,103.0, Special Spiced Chai ,58,Vitamin_Rich,Malai Milk,0.101,4.3099,640,119.1,201,20.2577, Medium ,61.5299
1755,10%,0%,0.0238,7.9436,6.0,Brand 25,0.11%,13%,76.0, Nimbu Pani & Shikanji ,11,Low_Fat,Large Kulhad,0.385,0.1719,105,3.0,281,3.6884, Medium ,0.0
1756,99%,58%,0.02966,25.7792,17.0,Brand 4,45.99%,11%,30.0, South Indian Filter Coffee ,36,Low_Fat,Extra Large Kulhad,3.695,3.4232,61,54.3,349,14.3156, Medium ,3.788
1757,44%,25%,0.09624,39.1329,62.0,Brand 32,20.69%,56%,98.0, Cold Coffee ,10,Vitamin_Rich,Badam Milk,5.221,1.4109,455,24.9,20,37.8745, Medium ,4.2578
1758,36%,9%,0.02217,9.9098,9.0,Brand 12,0.11%,12%,32.0, Special Spiced Chai ,10,Low_Fat,Medium Glass,0.101,0.0,0,16.6,489,9.4649, Medium ,0.0
1759,11%,35%,0.08262,11.7952,30.0,Brand 19,0.11%,7%,34.0, Nimbu Pani & Shikanji ,12,Low_Fat,Small Glass,0.101,0.0754,128,6.3,227,21.5116, Low ,2.0231
1760,43%,45%,0.03158,27.1232,9.0,Brand 8,0.11%,11%,135.0, Cold Coffee ,17,Low_Fat,Elaichi Doodh,3.111,0.3918,579,33.5,245,16.9191, Medium ,3.7883
1761,139%,33%,0.08999,35.7423,87.0,Brand 27,51.35%,405%,225.0, Mango Shake ,30,Vitamin_Rich,Malai Milk,335.826,2.9901,451,134.1,55,37.6795, High ,77.2581
1762,51%,49%,0.10519,27.8278,37.0,Brand 6,14.5%,6%,69.0, South Indian Filter Coffee ,43,Vitamin_Rich,Malai Milk,0.101,1.163,243,124.2,244,16.3449, Medium ,69.7151
1763,43%,34%,0.07523,23.8354,49.0,Brand 11,0.11%,13%,79.0, Lassi Blends ,12,Vitamin_Rich,Malai Milk,1.828,1.1222,130,63.7,20,18.038, Medium ,49.5139
1764,87%,55%,0.1703,29.5547,35.0,Brand 32,0.11%,10%,67.0, Special Spiced Chai ,18,Vitamin_Rich,Kesar Doodh,2.285,3.4815,698,140.1,232,18.5851, Medium ,1.9014
1765,88%,51%,0.154,29.976,19.0,Brand 9,0.11%,11%,76.0, Special Spiced Chai ,43,Low_Fat,Elaichi Doodh,0.973,1.1017,642,93.9,44,30.4265, Medium ,2.1558
1766,19%,28%,0.02083,19.8946,0.0,Brand 6,0.11%,67%,27.0, Nimbu Pani & Shikanji ,10,Low_Fat,Kesar Doodh,0.135,0.2508,430,19.4,41,11.4945, Low ,13.7883
1767,104%,27%,0.08977,32.7638,50.0,Brand 9,0.47%,7%,24.0, Lassi Blends ,11,Low_Fat,Elaichi Doodh,1.916,0.9553,749,36.4,224,14.4951, Medium ,10.1972
1768,87%,33%,0.10518,31.2076,41.0,Brand 33,8.69%,10%,107.0, South Indian Filter Coffee ,28,Low_Fat,Elaichi Doodh,0.101,2.7116,846,41.5,234,16.718, Medium ,23.6803
1769,49%,33%,0.09691,24.5677,83.0,Brand 10,0.11%,10%,134.0, Special Spiced Chai ,17,Low_Fat,Malai Milk,0.101,0.9838,251,50.0,51,21.4734, Medium ,10.2165
1770,28%,42%,0.03202,13.1611,11.0,Brand 4,0.11%,5%,2.0, South Indian Filter Coffee ,11,Vitamin_Rich,Rose Milk,0.101,0.3925,205,23.8,135,7.2368, Medium ,14.8687
1771,31%,32%,0.01101,25.4048,12.0,Brand 11,0.11%,5%,44.0, Light Buttermilk (Chaas) ,15,Low_Fat,Rose Milk,0.101,0.9318,596,45.2,41,23.7704, Medium ,8.6249
1772,12%,22%,0.09185,33.2893,51.0,Brand 17,24.33%,33%,123.0, Lassi Blends ,17,Low_Fat,Saffron-Infused Milk,1.054,0.2268,299,17.0,20,9.9786, Medium ,20.7966
1773,50%,40%,0.01756,27.3008,35.0,Brand 32,0.11%,6%,53.0, Cold Coffee ,10,Low_Fat,Malai Milk,0.129,0.0,332,33.0,20,20.8297, Low ,3.4047
1774,73%,48%,0.02108,33.3099,54.0,Brand 6,0.11%,10%,125.0, Special Spiced Chai ,17,Low_Fat,Malai Milk,0.101,0.4869,560,100.6,220,18.0292, Medium ,0.0
1775,55%,34%,0.09145,23.7259,62.0,Brand 15,17.34%,8%,113.0, Masala Chai ,12,Vitamin_Rich,Badam Milk,2.885,1.7539,462,61.2,34,23.9982, High ,10.2075
1776,46%,34%,0.08847,29.5443,78.0,Brand 10,23.21%,9%,166.0, Masala Chai ,26,Vitamin_Rich,Badam Milk,1.91,3.8305,296,29.4,134,29.3347, Medium ,59.6432
1777,10%,0%,0.02396,9.7257,6.0,Brand 1,0.65%,7%,18.0, Mango Shake ,11,Low_Fat,Large Kulhad,0.101,0.6342,266,17.5,447,6.3128, Medium ,0.0
1778,51%,22%,0.03,29.1273,2.0,Brand 20,0.11%,9%,113.0, Cold Coffee ,11,Low_Fat,Large Kulhad,0.101,0.4739,251,6.8,20,4.508, Medium ,0.0
1779,71%,28%,0.02995,24.9026,42.0,Brand 20,10.39%,5%,109.0, South Indian Filter Coffee ,11,Vitamin_Rich,Badam Milk,0.101,0.9676,472,41.5,50,14.1035, Medium ,28.5028
1780,124%,61%,0.11902,35.7603,38.0,Brand 11,48.42%,12%,202.0, Mango Shake ,40,Vitamin_Rich,Malai Milk,357.183,3.7217,766,143.0,49,29.9657, High ,228.4916
1781,52%,48%,0.01101,29.7483,32.0,Brand 10,0.16%,12%,155.0, Masala Chai ,18,Low_Fat,Elaichi Doodh,0.101,0.3417,662,54.3,132,27.8714, Medium ,0.0
1782,50%,26%,0.02591,30.3552,14.0,Brand 21,46.43%,8%,42.0, Masala Chai ,11,Vitamin_Rich,Badam Milk,6.558,0.5922,111,82.4,23,15.0513, High ,27.3669
1783,73%,33%,0.10685,39.2485,76.0,Brand 28,34.68%,13%,162.0, Cold Coffee ,24,Vitamin_Rich,Malai Milk,2.416,1.9426,687,42.8,229,35.1654, Medium ,5.8516
1784,61%,30%,0.10068,39.6466,55.0,Brand 3,54.63%,390%,179.0, Cold Coffee ,22,Vitamin_Rich,Malai Milk,0.101,3.5425,297,39.2,223,24.5947, High ,41.4248
1785,59%,29%,0.02168,31.7486,24.0,Brand 15,0.11%,12%,139.0, South Indian Filter Coffee ,15,Low_Fat,Elaichi Doodh,0.101,0.7978,240,88.9,20,12.6728, Medium ,2.0701
1786,101%,46%,0.1004,28.5115,25.0,Brand 9,0.11%,9%,108.0, South Indian Filter Coffee ,28,Vitamin_Rich,Malai Milk,0.101,1.9234,257,45.7,263,10.6062, Medium ,44.0892
1787,11%,8%,0.02205,18.7177,23.0,Brand 31,0.11%,13%,13.0, Nimbu Pani & Shikanji ,10,Low_Fat,Medium Glass,0.101,0.9151,40,11.3,465,3.3381, Medium ,0.8016
1788,10%,0%,0.02048,5.7034,0.0,Brand 25,0.11%,9%,9.0, Nimbu Pani & Shikanji ,12,Low_Fat,Medium Glass,0.101,0.0901,201,3.0,384,3.3381, Medium ,0.0
1789,43%,0%,0.0291,29.5864,36.0,Brand 15,0.11%,11%,184.0, Masala Chai ,23,Low_Fat,Elaichi Doodh,0.101,0.8093,382,20.2,212,11.7966, Medium ,0.0
1790,58%,27%,0.03837,29.5292,37.0,Brand 25,0.11%,5%,28.0, Special Spiced Chai ,10,Low_Fat,Extra Large Kulhad,0.101,2.3148,355,22.2,217,19.4943, Medium ,49.0461
1791,98%,32%,0.09369,35.9417,85.0,Brand 9,20.5%,13%,124.0, Cold Coffee ,17,Vitamin_Rich,Badam Milk,0.101,0.8169,443,33.8,219,34.2051, Medium ,0.0
1792,92%,33%,0.09044,29.2424,65.0,Brand 9,16.94%,12%,179.0, Special Spiced Chai ,26,Vitamin_Rich,Malai Milk,0.101,3.8399,394,143.0,136,35.9621, Medium ,74.2876
1793,10%,0%,0.01525,4.1998,5.0,Brand 5,0.11%,10%,7.0, South Indian Filter Coffee ,11,Low_Fat,Extra Large Kulhad,0.708,0.3944,137,11.0,279,3.3381, Medium ,7.1123
1794,23%,34%,0.02437,31.9626,49.0,Brand 15,47.1%,72%,101.0, Lassi Blends ,10,Low_Fat,Malai Milk,5.654,0.0,617,102.2,26,27.8901, High ,0.0
1795,113%,40%,0.09718,36.0958,62.0,Brand 15,11.56%,11%,152.0, Masala Chai ,26,Vitamin_Rich,Malai Milk,0.101,3.6293,500,63.6,161,30.0715, Medium ,296.66
1796,63%,8%,0.01488,15.9903,16.0,Brand 13,0.11%,9%,2.0, South Indian Filter Coffee ,11,Low_Fat,Medium Glass,0.101,0.0,68,25.3,237,17.2643, Low ,8.4248
1797,76%,58%,0.08908,21.7916,12.0,Brand 2,0.11%,14%,9.0, South Indian Filter Coffee ,36,Vitamin_Rich,Malai Milk,0.101,3.2466,536,116.9,54,19.8082, Medium ,222.6206
1798,15%,31%,0.01101,27.1648,43.0,Brand 25,24.04%,6%,151.0, Kadak Chai ,10,Vitamin_Rich,Elaichi Doodh,0.101,2.6813,328,31.3,41,24.7491, Medium ,64.0391
1799,35%,41%,0.02684,20.2346,16.0,Brand 9,0.11%,8%,151.0, Masala Chai ,16,Low_Fat,Elaichi Doodh,0.101,1.136,214,54.3,242,14.4405, Medium ,0.0
1800,97%,39%,0.01779,30.5712,47.0,Brand 6,0.11%,9%,68.0, Nimbu Pani & Shikanji ,12,Low_Fat,Kesar Doodh,0.101,1.2721,250,43.0,26,18.798, Medium ,7.5937
1801,42%,23%,0.08903,33.8489,29.0,Brand 25,10.46%,7%,78.0, Cold Coffee ,25,Vitamin_Rich,Full Cream Buffalo Milk,0.101,4.2114,282,31.4,266,25.0255, Medium ,66.9653
1802,94%,55%,0.07935,28.875,25.0,Brand 32,32.1%,9%,158.0, South Indian Filter Coffee ,27,Vitamin_Rich,Malai Milk,354.158,3.5965,624,45.5,48,26.5966, Medium ,50.4112
1803,41%,28%,0.02021,30.2664,42.0,Brand 27,0.11%,11%,224.0, Cold Coffee ,12,Low_Fat,Malai Milk,0.101,1.7877,500,20.6,130,20.2866, Medium ,9.3978
1804,63%,36%,0.09553,28.0511,78.0,Brand 10,19.31%,11%,49.0, South Indian Filter Coffee ,24,Vitamin_Rich,Elaichi Doodh,0.101,1.7201,362,94.9,267,27.4197, Medium ,176.0393
1805,41%,0%,0.01101,22.2342,25.0,Brand 10,0.11%,13%,11.0, Masala Chai ,10,Low_Fat,Large Kulhad,0.101,1.4173,74,3.0,74,13.7462, Medium ,7.6264
1806,42%,27%,0.03221,19.3156,32.0,Brand 24,0.11%,6%,160.0, South Indian Filter Coffee ,10,Low_Fat,Badam Milk,0.101,0.7506,350,54.5,35,11.9887, Medium ,27.8826
1807,94%,40%,0.09171,37.7033,32.0,Brand 32,14.95%,7%,39.0, South Indian Filter Coffee ,10,,Elaichi Doodh,0.101,0.6561,792,30.1,49,21.2853, Medium ,56.195
1808,88%,31%,0.09288,30.4373,64.0,Brand 31,0.11%,71%,64.0, Masala Chai ,10,Low_Fat,Elaichi Doodh,1.093,1.5668,243,35.3,20,16.3067, Medium ,14.4185
1809,30%,19%,0.0177,30.6448,14.0,Brand 27,1.13%,5%,71.0, Cold Coffee ,10,Low_Fat,Saffron-Infused Milk,0.101,0.7414,215,3.0,20,24.3582, Medium ,9.7279
1810,85%,33%,0.08616,40.3136,98.0,Brand 11,44.33%,20%,137.0, Mango Shake ,36,Vitamin_Rich,Malai Milk,46.657,4.3585,507,143.0,223,48.1, High ,57.6446
1811,16%,36%,0.03083,26.2338,17.0,Brand 27,0.11%,7%,113.0, Masala Chai ,17,Low_Fat,Elaichi Doodh,0.101,1.0706,130,17.6,142,13.3018, Medium ,0.0
1812,73%,54%,0.09089,36.9142,79.0,Brand 31,0.11%,11%,183.0, Special Spiced Chai ,45,Low_Fat,Malai Milk,1.425,4.2673,583,143.0,52,34.5029, Medium ,12.4194
1813,43%,32%,0.01364,30.5855,76.0,Brand 11,12.7%,58%,183.0, Masala Chai ,10,Low_Fat,Elaichi Doodh,0.101,0.8676,643,51.9,150,37.4856, Medium ,8.7204
1814,61%,35%,0.10048,36.7244,58.0,Brand 6,4.17%,10%,101.0, Lassi Blends ,27,Vitamin_Rich,Rose Milk,0.101,0.5736,726,34.2,20,25.0377, Medium ,6.1539
